month,date,raw_filename,aws_bucket,aws_key,byte_size,source_sample_rate_hz,role
2018-05,2018-05-01,MARS_20180501_000912.wav,pacific-sound-256khz-2018,05/MARS_20180501_000912.wav,460800356,256000,held-out
2018-05,2018-05-01,MARS_20180501_001912.wav,pacific-sound-256khz-2018,05/MARS_20180501_001912.wav,460800356,256000,held-out
